flight_id,event_time,longitude,latitude,altitude,speed,on_ground,vert_speed
e52d631,2017-08-02T11:39:30Z,16.57597,48.10974,0,28,1,0
e525890,2017-08-02T11:45:40Z,5.83881,40.08244,40000,502,0,0
e52d631,2017-08-02T11:31:38Z,16.57031,48.1189,0,0,1,0
e529378,2017-08-02T11:40:09Z,16.428,47.06274,36000,460,0,0
e52b165,2017-08-02T11:21:53Z,-15.34992,62.54801,35000,448,0,0
e5259c3,2017-08-02T11:21:54Z,25.05139,44.86094,40000,472,0,0
e525890,2017-08-02T11:32:47Z,6.0177,38.2836,40000,513,0,0
e52c43d,2017-08-02T11:40:53Z,12.61598,47.16068,36000,443,0,-64
e529378,2017-08-02T11:46:49Z,15.44582,47.59027,36000,457,0,0
e52c43d,2017-08-02T11:47:08Z,11.495,47.31748,37650,436,0,960
e52cd13,2017-08-02T11:22:33Z,19.25863,47.43078,0,0,1,0
e51d2a1,2017-08-02T11:34:00Z,15.00879,56.23632,40000,439,0,0
e51d2a1,2017-08-02T11:47:53Z,12.41592,55.41783,40000,429,0,0
e52d310,2017-08-02T11:31:26Z,11.12206,60.20039,0,24,1,0
e52c43d,2017-08-02T11:34:58Z,13.60198,46.88795,36000,436,0,0
e529378,2017-08-02T11:31:41Z,17.74636,46.46836,36000,456,0,0
e52d169,2017-08-02T11:31:46Z,12.24899,41.79814,0,0,1,0
e52d678,2017-08-02T11:35:25Z,11.14439,44.5834,3725,232,0,2944
e525890,2017-08-02T11:50:53Z,5.69984,40.79685,40000,495,0,0
e51e2e8,2017-08-02T11:49:45Z,-10.73187,57.18188,37000,502,0,0
e51d2a1,2017-08-02T11:33:31Z,15.10096,56.26469,40000,443,0,0
e52d207,2017-08-02T11:37:12Z,14.13492,50.0745,3750,235,0,1856
e51d2a1,2017-08-02T11:37:40Z,14.306,56.01617,39975,434,0,0
e52d678,2017-08-02T11:52:02Z,9.45951,45.72546,31300,386,0,2240
